MZ,RO,START,FINISH,HOURS,START,FINISH
a812,MH 0800-1200-12240-B0006-01,8:00,12:00,4.0,0:00,0:00
a814,MH 0800-1400 -12240-B0006-01,8:00,14:00,6.0,0:00,0:00
a816,MH 0800-1600-12240-B0006-01,8:00,16:00,8.0,0:00,0:00
a817,MH 0800-1700 -12240-B0006-01,8:00,17:00,9.0,0:00,0:00
a81730,MH 0800-1730-12240-B0006-01,8:00,17:30,9.5,0:00,0:00
a818,MH 0800-1800 -12240-B0006-01,8:00,18:00,10.0,0:00,0:00
a918,MH 0900-1800 -12240-B0006-01,9:00,18:00,9.0,0:00,0:00
a1217,MH 1200-1700 -12240-B0006-01,12:00,17:00,5.0,0:00,0:00
a1020,MH 1000-2000 -12240-B0006-01,10:00,20:00,10.0,0:00,0:00
c1113,CST 1100-1300-12240-B0006-01,11:00,13:00,2.0,0:00,0:00
c1116,CST 1100-1600-12240-B0006-01,11:00,16:00,5.0,0:00,0:00
c1215,CST 1200-1500-12240-B0006-01,12:00,15:00,3.0,0:00,0:00
c1216,CST 1200-1600-12240-B0006-01,12:00,16:00,4.0,0:00,0:00
c1218,CST 1200-1800-SSU-12240-B0006-01,12:00,18:00,6.0,0:00,0:00
c1416,CST 1400-1600-12240-B0006-01,14:00,16:00,2.0,0:00,0:00
c1418,CST 1400-1800-12240-B0006-01,14:00,18:00,4.0,0:00,0:00
c1618,CST 1600-1800-12240-B0006-01,16:00,18:00,2.0,0:00,0:00
c1718,CST 1700-1800-12240-B0006-01,17:00,18:00,1.0,0:00,0:00
c816,CST 0800-1600-12240-B0006-01,8:00,16:00,8.0,0:00,0:00
c818,CST 0800-1800-12240-B0006-01,8:00,18:00,10.0,0:00,0:00
c819,CST 0800-1900-12240-B0006-01,8:00,19:00,11.0,0:00,0:00
p1224,MH 1200-2400 -12240-B0006-01,12:00,0:00,12.0,0:00,0:00
p1323,MH 1300-2300 -12240-B0006-01,13:00,23:00,10.0,0:00,0:00
p1324,MH 1300-2400-12240-B0006-01,13:00,0:00,11.0,0:00,0:00
p1424,MH 1400-2400 -12240-B0006-01,14:00,0:00,10.0,0:00,0:00
p1524,MH 1500-2400 -12240-B0006-01,15:00,0:00,9.0,0:00,0:00
p1624,MH 1600-2400 -12240-B0006-01,16:00,0:00,8.0,0:00,0:00
p1724,MH 1700-2400 -12240-B0006-01,17:00,0:00,7.0,0:00,0:00
s816,MH 0800-1600-SSU-12240-B0006-01,8:00,16:00,8.0,0:00,0:00
s817,MH 0800-1700 SSU-12240-B0006-01,8:00,17:00,9.0,0:00,0:00
s81730,MH 0800-1730-SSU-12240-B0006-01,8:00,17:30,9.5,0:00,0:00
s818,MH 0800-1800 SSU-12240-B0006-01,8:00,18:00,10.0,0:00,0:00
i816,MH 0800-1600-IC-12240-B0006-01,8:00,16:00,8.0,0:00,0:00
i817,MH 0800-1700 IC-12240-B0006-01,8:00,17:00,9.0,0:00,0:00
i81730,MH 0800-1730-IC-12240-B0006-01,8:00,17:30,9.5,0:00,0:00
i818,MH 0800-1800 IC-12240-B0006-01,8:00,18:00,10.0,0:00,0:00
all,10,8:00,18:00,10.0,0:00,0:00
cll,634,8:00,18:00,10.0,0:00,0:00
lsll,LPPA,8:00,18:00,10.0,0:00,0:00
patll,657,8:00,18:00,10.0,0:00,0:00
matll,667,8:00,18:00,10.0,0:00,0:00
perll,25,8:00,18:00,10.0,0:00,0:00
LWOPl,605,8:00,18:00,10.0,0:00,0:00
SABB,638,8:00,18:00,10.0,0:00,0:00
PHNW,911,8:00,18:00,10.0,0:00,0:00